itemCode,prodOrder,projectCode,customer,description,status
C1N1A18E011000,PD2603067,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-24 ชุดแผ่นพับยึด Sensor,Completed
SO2600001,PD2603067,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-24 ชุดแผ่นพับยึด Sensor,Completed
C1N1A18E021000,PD2603068,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-25 ชุดแผ่นพับยึด Sensor Reflector,Completed
SO2600001,PD2603068,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-25 ชุดแผ่นพับยึด Sensor Reflector,Completed
C1T2D37A011000,PD2603069,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-24 แบบเชื่อมขา 2,Completed
SO2600001,PD2603069,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-24 แบบเชื่อมขา 2,Completed
C1T2D37A021000,PD2603070,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-32 ฐานรองขา,Completed
SO2600001,PD2603070,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-32 ฐานรองขา,Completed
C1T2D37A031000,PD2603071,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-33 แบบเชื่อม Support Guard,Completed
SO2600001,PD2603071,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-33 แบบเชื่อม Support Guard,Completed
C1T2D37A041000,PD2603072,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-47 แบบประกอบมอเตอร์,Completed
SO2600001,PD2603072,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-47 แบบประกอบมอเตอร์,Completed
C1T2D37A051000,PD2603073,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-48 ตัวตึงโซ่,Completed
SO2600001,PD2603073,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-48 ตัวตึงโซ่,Completed
C1T2D37A061000,PD2603074,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-49 ตัวตึงโซ่ 2,Completed
SO2600001,PD2603074,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-49 ตัวตึงโซ่ 2,Completed
C1T2D37A071000,PD2603075,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-50 แบบประกอบเพลาขับ,Active
SO2600001,PD2603075,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-50 แบบประกอบเพลาขับ,Active
C1T2D37A081000,PD2603076,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-55 แบบประกอบสเตอร์ คาน,Completed
SO2600001,PD2603076,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-55 แบบประกอบสเตอร์ คาน,Completed
C1T2D37A091000,PD2603077,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-58 แบบประกอบสเตอร์ปรับ,Completed
SO2600001,PD2603077,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-58 แบบประกอบสเตอร์ปรับ,Completed
C1T2D37A101000,PD2603078,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-43 แบบเชื่อมขา,Completed
SO2600001,PD2603078,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-43 แบบเชื่อมขา,Completed
C1T2D37A111000,PD2603079,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-44 ฐานรองขา,Completed
SO2600001,PD2603079,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-44 ฐานรองขา,Completed
SO2600001,PD2603080,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AE-01 ฉากยึดขาล่าง CV PD MRK L3740,Completed
C1T2D37A121000,PD2603080,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AE-01 ฉากยึดขาล่าง CV PD MRK L3740,Completed
C1T2D37A131000,PD2603081,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10 WD PD CV L3740 (In-Out Bound),Completed
SO2600001,PD2603081,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,AMW-10 WD PD CV L3740 (In-Out Bound),Completed
C1T2D37D011000,PD2603082,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-01 WD Guard In-Out CV PD L3740 MRK,Completed
SO2600001,PD2603082,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-01 WD Guard In-Out CV PD L3740 MRK,Completed
C1T2D37D021000,PD2603083,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-02 WD Guard In-Out CV PD L3740 MRK,Completed
SO2600001,PD2603083,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-02 WD Guard In-Out CV PD L3740 MRK,Completed
C1T2D37D031000,PD2603084,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-03 WD Guard In-Out CV PD L3740 MRK,Completed
SO2600001,PD2603084,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DF-03 WD Guard In-Out CV PD L3740 MRK,Completed
C1T2D37E011000,PD2603085,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,E0-01 ขายึด Profile CV PD MRK,Completed
SO2600001,PD2603085,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,E0-01 ขายึด Profile CV PD MRK,Completed
C1T2D37E021000,PD2603086,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,E0-02 AL-Profile XA-4040T L950,Completed
SO2600001,PD2603086,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,E0-02 AL-Profile XA-4040T L950,Completed
C1T2D37E031000,PD2603087,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,E0-03 ขายึด Profile CV PD MRK,Completed
SO2600001,PD2603087,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,E0-03 ขายึด Profile CV PD MRK,Completed
C1T2D37F011000,PD2603088,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,F0-01 รางลูกกลิ้ง Dai50x200,Completed
SO2600001,PD2603088,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,F0-01 รางลูกกลิ้ง Dai50x200,Completed
C1T2D37F021000,PD2603089,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,F0-02 รางลูกกลิ้ง Dai50x200,Active
SO2600001,PD2603089,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,F0-02 รางลูกกลิ้ง Dai50x200,Active
C351M31E011000,PD2603090,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-26 ชุดแผ่นพับยึด Sensor (ตัวสูง),Active
SO2600001,PD2603090,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-26 ชุดแผ่นพับยึด Sensor (ตัวสูง),Active
C431D40B011900,PD2603091,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,BF-01 ชุดล้อ MC NYLON ดันโซ่,Completed
SO2600001,PD2603091,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,BF-01 ชุดล้อ MC NYLON ดันโซ่,Completed
CC32B20D011000,PD2603092,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DE-00-5 ชุด Stopper คาน Feed,Active
SO2600001,PD2603092,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,DE-00-5 ชุด Stopper คาน Feed,Active
SO2600001,PD2603093,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-26-2 แผ่นพับยึด Sensor (ตัวสูง),Completed
C351M31E011100,PD2603093,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-26-2 แผ่นพับยึด Sensor (ตัวสูง),Completed
C1N1A18E021100,PD2603094,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-25-1 แผ่นพับยึด Sensor Reflector,Completed
SO2600001,PD2603094,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-25-1 แผ่นพับยึด Sensor Reflector,Completed
C1N1A18E011100,PD2603095,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-24-1 แผ่นพับยึด Sensor,Completed
SO2600001,PD2603095,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-24-1 แผ่นพับยึด Sensor,Completed
C1N1A18E011200,PD2603096,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-24-2 แผ่นพับยึด Sensor,Completed
SO2600001,PD2603096,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,EF-24-2 แผ่นพับยึด Sensor,Completed
C1T2D37A014100,PD2603097,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-15 คานฟีด 2,Completed
SO2600001,PD2603097,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-15 คานฟีด 2,Completed
C1T2D37A014200,PD2603098,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-20 แบบเชื่อมขา,Completed
SO2600001,PD2603098,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-20 แบบเชื่อมขา,Completed
C1T2D37A024100,PD2603099,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-32-1 ฐานรองขา,Completed
SO2600001,PD2603099,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-32-1 ฐานรองขา,Completed
C1T2D37A024200,PD2603100,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-32-2 ฐานรองขา,Completed
SO2600001,PD2603100,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-32-2 ฐานรองขา,Completed
C1T2D37A034100,PD2603101,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-34 Support Guard,Completed
SO2600001,PD2603101,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-34 Support Guard,Completed
C1T2D37A034200,PD2603102,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-35 Support Guard 2,Completed
SO2600001,PD2603102,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-35 Support Guard 2,Completed
C1T2D37A041100,PD2603103,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-44 แบบเชื่อม Support Motor,Completed
SO2600001,PD2603103,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-44 แบบเชื่อม Support Motor,Completed
C1T2D37A041200,PD2603104,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,End Cap Sprocket Drive #50-1P 12T H25,Completed
SO2600001,PD2603104,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,End Cap Sprocket Drive #50-1P 12T H25,Completed
C1T2D37A041300,PD2603105,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,Sprocket Drive #50-1P 12T H25,Completed
SO2600001,PD2603105,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,Sprocket Drive #50-1P 12T H25,Completed
C1T2D37A071100,PD2603106,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-51 เพลาขับ,Completed
SO2600001,PD2603106,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-51 เพลาขับ,Completed
C1T2D37A071200,PD2603107,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-53 สเตอร์เพลาขับ 2,Completed
SO2600001,PD2603107,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-53 สเตอร์เพลาขับ 2,Completed
C1T2D37A071300,PD2603108,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-54 แผ่นปิดหัวเพลา,Completed
SO2600001,PD2603108,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-54 แผ่นปิดหัวเพลา,Completed
C1T2D37A071400,PD2603109,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,Parallel Key 8x7x25,Completed
SO2600001,PD2603109,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,Parallel Key 8x7x25,Completed
C1T2D37A071500,PD2603110,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,Sprocket Drive #50-1P 24T H35,Completed
SO2600001,PD2603110,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,Sprocket Drive #50-1P 24T H35,Completed
C1T2D37A081100,PD2603111,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-56 เพลาสเตอร์ คาน,Completed
SO2600001,PD2603111,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-56 เพลาสเตอร์ คาน,Completed
C1T2D37A081200,PD2603112,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-57 สเตอร์เพลาขับ 3,Completed
SO2600001,PD2603112,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-57 สเตอร์เพลาขับ 3,Completed
